Year,Location,D,G,Gold,Silver,Bronze
2007,Erlangen 30 - 31 March 2007,B,M,Mykhaylo Shalagin 4t5 4b5,Kilian Fischhuber 3t4 3b4,Jonas Baumann 3t5 4b4
2007,Erlangen 30 - 31 March 2007,B,W,Olga Shalagina 4t6 4b6,Juliette Danion 4t11 4b11,Chloé Graftiaux 2t2 3b3
2007,Sofia 20 - 22 April 2007,B,M,Tomás Mrázek 4t7 4b6,Dmitrii Sharafutdinov 3t4 4b7,Kilian Fischhuber 3t5 4b9
2007,Sofia 20 - 22 April 2007,B,W,Yulia Abramchuk 2t4 4b9,Akiyo Noguchi 2t4 3b4,Tatiana Shemulinkina 2t4 3b5
2007,Hall 27 - 28 April 2007,B,M,Kilian Fischhuber 4t8 4b5,Jorg Verhoeven 4t9 4b5,Akito Matsushima 2t7 2b4
2007,Hall 27 - 28 April 2007,B,W,Olga Shalagina 3t4 3b3,Natalija Gros 3t4 3b3,Alexandra Eyer 3t6 4b8
2007,La Reunion 4 - 5 May 2007,B,M,Andrew Earl 4t8 4b8,Jérôme Meyer 3t3 3b3,Daniel DU LAC 3t4 4b4
2007,La Reunion 4 - 5 May 2007,B,W,Juliette Danion 4t4 4b4,Chloé Graftiaux 2t2 3b3,Silvie Rajfova 1t1 3b6
2007,Grindelwald 8 - 9 June 2007,B,M,Kilian Fischhuber 4t6 4b5,Akito Matsushima 3t6 4b6,Nalle Hukkataival 3t6 4b7
2007,Grindelwald 8 - 9 June 2007,B,W,Natalija Gros 2t2 4b5,Akiyo Noguchi 2t5 4b5,Katharina Saurwein 2t8 4b9
2007,Fiera di Primiero 22 - 23 June 2007,B,M,Dmitrii Sharafutdinov 3t11 4b8,Gabriele Moroni 2t6 4b5,Akito Matsushima 2t9 2b2
2007,Fiera di Primiero 22 - 23 June 2007,B,W,Natalija Gros 2t7 3b3,Olga Shalagina 1t1 2b2,Akiyo Noguchi 1t2 3b3
2007,Brno 9 - 10 November 2007,B,M,Dmitrii Sharafutdinov 3t9 3b5,Kilian Fischhuber 2t4 2b2,Stephane Julien 1t1 2b2
2007,Brno 9 - 10 November 2007,B,W,Juliette Danion 4t6 4b4,Anna Stöhr 4t7 4b4,Olga Shalagina 1t3 4b4
2008,Hall 18–19 April 2008,B,M,Kilian Fischhuber 3t5 3b5,Dmitrii Sharafutdinov 2t2 2b2,Daniel Woods 2t4 3b4
2008,Hall 18–19 April 2008,B,W,Anna Stöhr 3t3 4b8,Yulia Abramchuk 3t8 4b9,Angelica Lind 2t2 4b5
2008,Réunion 2–3 May 2008,B,M,David Lama 4t9 4b5,Kilian Fischhuber 4t9 4b9,Jorg Verhoeven 4t9 4b9
2008,Réunion 2–3 May 2008,B,W,Anna Stöhr 4t6 4b5,Akiyo Noguchi 4t10 4b8,Yulia Abramchuk 3t5 4b8
2008,Grindelwald 30–31 May 2008,B,M,Dmitrii Sharafutdinov 2t5 4b9,Kilian Fischhuber 2t6 3b6,David Lama 1t1 3b3
2008,Grindelwald 30–31 May 2008,B,W,Anna Stöhr 3t11 4b8,Charlotte Durif 1t1 4b8,Akiyo Noguchi 1t2 4b14
2008,Vail 6–7 June 2008,B,M,Kilian Fischhuber 2t2 4b4,Gabriele Moroni 2t2 4b5,Paul Robinson 1t1 4b5
2008,Vail 6–7 June 2008,B,W,Alex Johnson 2t5 4b7,Katharina Saurwein 2t7 4b8,Anna Stöhr 2t7 4b10
2008,Fiera di Primiero 13–14 June 2008,B,M,David Lama 3t3 4b6,Kilian Fischhuber 3t5 3b3,Sean McColl 3t7 4b6
2008,Fiera di Primiero 13–14 June 2008,B,W,Anna Stöhr 4t5 4b4,Katja Vidmar 3t4 4b5,Yulia Abramchuk 2t3 3b3
2008,Montauban 4–5 July 2008,B,M,Dmitrii Sharafutdinov 3t4 4b5,Rustam Gelmanov 2t2 4b4,David Lama 2t4 4b7
2008,Montauban 4–5 July 2008,B,W,Akiyo Noguchi 4t5 4b5,Yulia Abramchuk 4t6 4b5,Natalija Gros 3t4 3b4
2008,Moscow 31 October - 2 November 2008,B,M,Rustam Gelmanov 4t5 4b4,Kilian Fischhuber 3t3 3b3,Stanislav Kleshnov 2t2 4b4
2008,Moscow 31 October - 2 November 2008,B,W,Katharina Saurwein 4t4 4b4,Natalija Gros Katja Vidmar 4t4 4b4,–
2009,Kazo 11 - 12 April 2009,B,M,Stephane Julien 2t2 3b3,Tatsuya Muraoka 1t1 2b6,Rustam Gelmanov 1t2 2b2
2009,Kazo 11 - 12 April 2009,B,W,Akiyo Noguchi 2t4 3b6,Jain Kim 2t5 3b6,Anna Stöhr 2t6 2b4
2009,Hall 1 - 2 May 2009,B,M,Kilian Fischhuber 2t2 3b3,Gabriele Moroni 2t3 3b6,Adam Ondra 2t6 4b8
2009,Hall 1 - 2 May 2009,B,W,Akiyo Noguchi Anna Stöhr 1t1 1b1 (super final) 4t4 4b4 (final),–,Yulia Abramchuk 4t8 4b7
2009,Wien 29 - 30 May 2009,B,M,Rustam Gelmanov 4t5 4b5,Sean McColl 3t4 4b6,Kilian Fischhuber 3t4 3b4
2009,Wien 29 - 30 May 2009,B,W,Alexandra Balakireva 3t4 4b4,Akiyo Noguchi 3t6 4b5,Anna Stöhr 3t7 4b8
2009,Vail 5 - 6 June 2009,B,M,Jonas Baumann 4t5 4b4,Daniel Woods 4t6 4b5,Kilian Fischhuber 3t4 4b5
2009,Vail 5 - 6 June 2009,B,W,Alex Puccio 4t6 4b6,Alex Johnson 3t3 4b4,Akiyo Noguchi 2t2 4b7
2009,Eindhoven 12 - 13 June 2009,B,M,Kilian Fischhuber 4t8 4b7,Gabriele Moroni 2t2 2b2,Stephane Julien 2t2 2b2
2009,Eindhoven 12 - 13 June 2009,B,W,Akiyo Noguchi 3t4 4b6,Natalija Gros 3t5 4b8,Olga Shalagina 2t2 4b6
2010,Greifensee 14–15 May 2010,B,M,Kilian Fischhuber 4t6 4b6,Adam Ondra 4t6 4b6,Christian Core 1t1 2b4
2010,Greifensee 14–15 May 2010,B,W,Alex Johnson 1t1 4b6,Akiyo Noguchi 1t1 4b7,Chloé Graftiaux 1t2 4b5
2010,Wien 28–30 May 2010,B,M,Kilian Fischhuber 2t2 3b3,Adam Ondra 1t1 3b3,Alexey Rubtsov 1t5 3b8
2010,Wien 28–30 May 2010,B,W,Akiyo Noguchi 2t2 3b5,Momoka Oda 2t3 2b3,Jain Kim 2t4 2b2
2010,Vail 4–5 June 2010,B,M,Daniel Woods 2t4 4b11,Tsukuru Hori 1t1 3b5,Kilian Fischhuber 1t1 3b6
2010,Vail 4–5 June 2010,B,W,Chloé Graftiaux 3t3 4b4,Anna Stöhr 3t4 4b5,Juliane Wurm 3t5 4b5
2010,Moscow 17–21 June 2010,B,M,Adam Ondra 2t4 4b5,Tsukuru Hori 1t1 4b4,Kilian Fischhuber 1t2 4b4
2010,Moscow 17–21 June 2010,B,W,Anna Stöhr 2t2 3b3,Chloé Graftiaux 2t2 2b2,Jain Kim 2t4 3b6
2010,Eindhoven 25–26 June 2010,B,M,Dmitrii Sharafutdinov 3t4 4b4,Sean McColl 3t5 4b4,Kilian Fischhuber 3t7 4b4
2010,Eindhoven 25–26 June 2010,B,W,Anna Stöhr 2t2 3b3,Juliane Wurm 2t5 3b8,Melissa Le Neve 2t6 3b7
2010,Sheffield 3–4 July 2010,B,M,Adam Ondra 4t6 4b6,Cédric Lachat 4t12 4b9,Mykhaylo Shalagin 2t2 3b3
2010,Sheffield 3–4 July 2010,B,W,Chloé Graftiaux 4t7 4b7,Alex Johnson 4t8 4b8,Akiyo Noguchi 4t9 4b9
2010,Munich 30–31 July 2010,B,M,Adam Ondra 3t3 4b4,Dmitrii Sharafutdinov 2t3 4b5,Victor Kozlov 2t3 3b4
2010,Munich 30–31 July 2010,B,W,Akiyo Noguchi 1t1 4b8,Anna Stöhr 1t2 4b7,Anna Gallyamova 0t 3b3
2011,Milano 14–17 April 2011,B,M,Kilian Fischhuber 4t9 4b5,Jakob Schubert 3t3 3b3,Rustam Gelmanov 3t6 3b6
2011,Milano 14–17 April 2011,B,W,Jain Kim 3t5 3b4,Anna Stöhr 2t4 4b7,Melissa Le Neve 2t4 4b9
2011,Log-Dragomer 7–8 May 2011,B,M,Guillaume Glairon Mondet 3t3 4b6,Dmitrii Sharafutdinov 3t6 4b9,Kilian Fischhuber 2t3 4b6
2011,Log-Dragomer 7–8 May 2011,B,W,Anna Stöhr 2t3 4b6,Akiyo Noguchi 2t6 3b6,Alex Puccio 1t3 3b6
2011,Vienna 13–14 May 2011,B,M,Dmitrii Sharafutdinov 1t4 4b7,Klemen Becan 1t5 4b12,Lukas Ennemoser 0t 3b9
2011,Vienna 13–14 May 2011,B,W,Anna Stöhr 4t13 4b4,Alex Puccio 2t2 3b3,Olga Shalagina 1t1 3b3
2011,Canmore 27–28 May 2011,B,M,Tsukuru Hori 2t3 4b9,Klemen Becan 2t5 4b9,Sean McColl 1t2 3b5
2011,Canmore 27–28 May 2011,B,W,Akiyo Noguchi 4t9 4b7,Anna Stöhr 4t10 4b6,Jain Kim 3t12 4b14
2011,Vail 3–4 June 2011,B,M,Kilian Fischhuber 4t4 4b4,Dmitrii Sharafutdinov 4t5 4b5,Jonas Baumann 2t4 4b6
2011,Vail 3–4 June 2011,B,W,Anna Stöhr 4t7 4b7,Alex Puccio 3t3 3b3,Melissa Le Neve 3t8 4b9
2011,Eindhoven 17–18 June 2011,B,M,Kilian Fischhuber 4t5 4b4,Daniel Woods 4t6 4b5,Francois Kaiser 3t5 4b4
2011,Eindhoven 17–18 June 2011,B,W,Akiyo Noguchi 4t6 4b5,Anna Stöhr 4t8 4b7,Melissa Le Neve 3t6 4b6
2011,Barcelona 25–26 June 2011,B,M,Guillaume Glairon Mondet 2t2 4b4,Rustam Gelmanov 2t2 3b3,Dmitrii Sharafutdinov 2t5 4b8
2011,Barcelona 25–26 June 2011,B,W,Akiyo Noguchi 4t8 4b4,Alex Puccio 2t4 3b3,Melissa Le Neve 2t4 3b3
2011,Sheffield 2–3 July 2011,B,M,Kilian Fischhuber 2t3 3b4,Cédric Lachat 2t5 4b9,Alexey Rubtsov 2t13 4b13
2011,Sheffield 2–3 July 2011,B,W,Akiyo Noguchi 2t2 4b4,Melissa Le Neve 2t3 3b5,Alex Puccio 2t7 4b11
2011,Munich 19–20 August 2011,B,M,Dmitrii Sharafutdinov 4t4 4b4,Rustam Gelmanov 4t7 4b6,Alexey Rubtsov 2t4 4b6
2011,Munich 19–20 August 2011,B,W,Mina Markovic 3t7 3b7,Juliane Wurm 2t4 3b3,Anna Stöhr 1t1 3b3
2012,Chongqing 13 - 14 April 2012,B,M,Jakob Schubert 2t2 3b6,Guillaume Glairon Mondet 2t5 4b4,Rustam Gelmanov 1t3 4b4
2012,Chongqing 13 - 14 April 2012,B,W,Akiyo Noguchi 2t2 2b2,Anna Stöhr 2t6 3b5,Jain Kim 1t2 3b4
2012,Log-Dragomer 21 - 22 April 2012,B,M,Rustam Gelmanov 3t4 4b5,Kilian Fischhuber 3t6 4b7,Thomas Tauporn 3t9 4b7
2012,Log-Dragomer 21 - 22 April 2012,B,W,Mina Markovic 4t8 4b7,Shauna Coxsey 2t2 4b4,Anna Stöhr 2t3 4b4
2012,Vienna 27 - 28 April 2012,B,M,Rustam Gelmanov 4t7 4b4,Dmitrii Sharafutdinov 3t4 4b4,Kilian Fischhuber 3t5 4b4
2012,Vienna 27 - 28 April 2012,B,W,Akiyo Noguchi 4t6 4b4,Mina Markovic 3t5 4b4,Alex Puccio 2t2 3b4
2012,Innsbruck 18 - 19 May 2012,B,M,Kilian Fischhuber 2t5 4b8,Rustam Gelmanov 1t1 3b4,Sean McColl 0t 4b4
2012,Innsbruck 18 - 19 May 2012,B,W,Anna Stöhr 4t7 4b6,Shauna Coxsey 4t8 4b7,Melissa Le Neve 3t4 3b4
2012,Vail 1 - 2 June 2012,B,M,Kilian Fischhuber 4t7 4b7,Sean McColl 4t9 4b9,Jan Hojer 3t3 3b3
2012,Vail 1 - 2 June 2012,B,W,Anna Stöhr 4t14 4b11,Shauna Coxsey 3t4 4b5,Juliane Wurm 3t4 3b3
2012,Munich 25 - 26 August 2012,B,M,Dmitrii Sharafutdinov 4t10 4b9,Sean McColl 4t10 4b10,Jakob Schubert 3t10 4b17
2012,Munich 25 - 26 August 2012,B,W,Akiyo Noguchi 4t4 4b4,Anna Stöhr 4t5 4b5,Juliane Wurm 4t6 4b5
2013,Chongqing 22–23 March 2013,B,M,Dmitrii Sharafutdinov 4t9 4b9,Jakob Schubert 3t5 3b5,Tsukuru Hori 3t6 3b6
2013,Chongqing 22–23 March 2013,B,W,Anna Stöhr 3t5 4b6,Momoka Oda 2t3 3b3,Alex Puccio 2t3 3b4
2013,Millau 5–6 April 2013,B,M,Kilian Fischhuber 3t9 3b5,Guillaume Glairon Mondet 1t1 4b10,Jorg Verhoeven 1t1 3b4
2013,Millau 5–6 April 2013,B,W,Anna Stöhr 4t13 4b13,Shauna Coxsey 4t14 4b13,Akiyo Noguchi 3t7 4b9
2013,Kitzbühel 26–27 April 2013,B,M,Jakob Schubert 2t7 4b9,Guillaume Glairon Mondet 1t2 2b2,Dmitrii Sharafutdinov 1t3 3b3
2013,Kitzbühel 26–27 April 2013,B,W,Anna Stöhr 4t4 4b4,Akiyo Noguchi 4t4 4b4,Alex Puccio 4t6 4b6
2013,Log-Dragomer 11–12 May 2013,B,M,Sean McColl 3t5 4b9,Jan Hojer 2t8 3b9,Dmitrii Sharafutdinov 2t10 3b8
2013,Log-Dragomer 11–12 May 2013,B,W,Anna Stöhr 3t6 4b5,Melissa Le Neve 3t6 4b7,Shauna Coxsey 2t3 4b4
2013,Innsbruck 17–18 May 2013,B,M,Jan Hojer 4t6 4b6,Dmitrii Sharafutdinov 4t7 4b7,Kilian Fischhuber 3t3 3b3
2013,Innsbruck 17–18 May 2013,B,W,Juliane Wurm 4t5 4b4,Anna Stöhr 4t6 4b5,Akiyo Noguchi 3t9 4b10
2013,Toronto 1–2 June 2013,B,M,Kilian Fischhuber 3t5 4b5,Jorg Verhoeven 3t5 3b5,Jakob Schubert 2t2 3b4
